Name;Parent;Level;Occurance;Type;Min;Max;Description
MATERIAL_EXTERNAL;E1BPE1MPOPRTX;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MPOPRTX;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MPOPRTX;3;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MPOPRTX;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MPRWRT;IDOC;2;0..999999;Complex;;;Transf.dados varejo - valores de previsão
FUNCTION;E1BPE1MPRWRT;3;0..1;String;;3;Função
MATERIAL;E1BPE1MPRWRT;3;0..1;String;;18;Nº do material
PLANT;E1BPE1MPRWRT;3;0..1;String;;4;Centro
FIRST_DAY;E1BPE1MPRWRT;3;0..1;String;;8;Primeiro dia do período ao qual se referem os valores
FORE_VALUE;E1BPE1MPRWRT;3;0..1;String;;15;Valor de previsão
CORR_VALUE;E1BPE1MPRWRT;3;0..1;String;;15;Valor corrigido p/valor de previsão
SEAS_INDEX;E1BPE1MPRWRT;3;0..1;String;;7;Índice sazonal
CVALUE_FXD;E1BPE1MPRWRT;3;0..1;String;;1;Código: valor de previsão fixado
EXPOST_VAL;E1BPE1MPRWRT;3;0..1;String;;15;Valor de previsão 'ex post'
VAL_RATIO;E1BPE1MPRWRT;3;0..1;String;;7;Relação valor original : valor corrigido
MATERIAL_EXTERNAL;E1BPE1MPRWRT;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MPRWRT;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MPRWRT;3;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MPRWRT;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MVEGRT;IDOC;2;0..999999;Complex;;;Transf.dados varejo - consumos totais
FUNCTION;E1BPE1MVEGRT;3;0..1;String;;3;Função
MATERIAL;E1BPE1MVEGRT;3;0..1;String;;18;Nº do material
PLANT;E1BPE1MVEGRT;3;0..1;String;;4;Centro
FIRST_DAY;E1BPE1MVEGRT;3;0..1;String;;8;Primeiro dia do período ao qual se referem os valores
CONS_VALUE;E1BPE1MVEGRT;3;0..1;String;;15;Valor de consumo
CORR_VALUE;E1BPE1MVEGRT;3;0..1;String;;15;Valor de consumo corrigido
VAL_RATIO;E1BPE1MVEGRT;3;0..1;String;;7;Relação valor original : valor corrigido
MATERIAL_EXTERNAL;E1BPE1MVEGRT;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MVEGRT;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MVEGRT;3;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MVEGRT;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MVEURT;IDOC;2;0..999999;Complex;;;Transf.dados varejo - consumos não planejados
FUNCTION;E1BPE1MVEURT;3;0..1;String;;3;Função
MATERIAL;E1BPE1MVEURT;3;0..1;String;;18;Nº do material
PLANT;E1BPE1MVEURT;3;0..1;String;;4;Centro
FIRST_DAY;E1BPE1MVEURT;3;0..1;String;;8;Primeiro dia do período ao qual se referem os valores
CONS_VALUE;E1BPE1MVEURT;3;0..1;String;;15;Valor de consumo
CORR_VALUE;E1BPE1MVEURT;3;0..1;String;;15;Valor de consumo corrigido
VAL_RATIO;E1BPE1MVEURT;3;0..1;String;;7;Relação valor original : valor corrigido
MATERIAL_EXTERNAL;E1BPE1MVEURT;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
MATERIAL_GUID;E1BPE1MVEURT;3;0..1;String;;32;GUID externo para campo MATERIAL
MATERIAL_VERSION;E1BPE1MVEURT;3;0..1;String;;10;Nº de versão para campo MATERIAL
MATERIAL_LONG;E1BPE1MVEURT;3;0..1;String;;40;Nº material (40 caracteres, necessário por razões técnicas)
E1BPE1MPGDRT;IDOC;2;0..999999;Complex;;;Transf.dados varejo - dados de planejamento preliminar
FUNCTION;E1BPE1MPGDRT;3;0..1;String;;3;Função
MATERIAL;E1BPE1MPGDRT;3;0..1;String;;18;Nº do material
PLANT;E1BPE1MPGDRT;3;0..1;String;;4;Centro
PLNG_MATL;E1BPE1MPGDRT;3;0..1;String;;18;Material planejado
PLNG_PLANT;E1BPE1MPGDRT;3;0..1;String;;4;Centro de planejamento
CONVFACTOR;E1BPE1MPGDRT;3;0..1;String;;10;Fator conversão p/UM base de material planejamento prelim.
MATERIAL_EXTERNAL;E1BPE1MPGDRT;3;0..1;String;;40;Nº de material longo para o campo MATERIAL
